Neighbourhood,Population
West Humber-Clairville,33300
Mount Olive-Silverstone-Jamestown,31345
Thistletown-Beaumond Heights,9850
Rexdale-Kipling,10375
Elms-Old Rexdale,9355
Kingsview Village-The Westway,22005
Willowridge-Martingrove-Richview,22445
Humber Heights-Westmount,10005
Edenbridge-Humber Valley,15190
Princess-Rosethorn,11170
Eringate-Centennial-West Deane,18450
Markland Wood,10365
Etobicoke West Mall,11865
Kingsway South,8855
Stonegate-Queensway,25650
New Toronto,11345
Long Branch,11360
Alderwood,12595
Humber Summit,12185
Humbermede,16955
Pelmo Park-Humberlea,11290
Black Creek,21145
Glenfield-Jane Heights,30020
York University Heights,28255
Rustic,9390
Maple Leaf,9845
Brookhaven-Amesbury,17495
Yorkdale-Glen Park,16625
Englemount-Lawrence,21285
Clanton Park,17620
Bathurst Manor,15955
Westminster-Branson,25705
Newtonbrook West,23805
Willowdale West,17160
Lansing-Westgate,15910
Bedford Park-Nortown,22145
St.Andrew-Windfields,16960
Bridle Path-Sunnybrook-York Mills,8940
Banbury-Don Mills,27155
Victoria Village,17365
Flemingdon Park,22530
Pleasant View,15220
Don Valley Village,26775
Hillcrest Village,16345
Bayview Woods-Steeles,12085
Newtonbrook East,15345
Bayview Village,22330
Henry Farm,19840
O`Connor Parkview,18405
Thorncliffe Park,20400
Leaside-Bennington,16535
Broadview North,10955
Old East York,9160
Danforth-East York,17065
Woodbine-Lumsden,7915
Taylor Massey,15025
East End Danforth,21840
The Beaches,21510
Woodbine Corridor,12205
Greenwood-Coxwell,14120
Danforth,9305
Playter Estates-Danforth,7680
North Riverdale,11290
Blake-Jones,7475
South Riverdale,27815
Cabbagetown-South St. James Town,11020
Regent Park,12750
Moss Park,21490
North St. James Town,18535
Kensington-Chinatown,18120
University,6435
Palmerston-Little Italy,13120
Trinity-Bellwoods,15415
Dufferin Grove,11215
Little Portugal,15485
South Parkdale,20495
Roncesvalles,14610
High Park-Swansea,22665
High Park North,21855
Runnymede-Bloor West Village,10120
Junction Area,14010
Weston-Pelham Park,10680
Corso Italia-Davenport,13200
Wychwood,12800
Annex,29300
Casa Loma,11350
Yonge-St. Clair,12905
Rosedale-Moore Park,20080
Mount Pleasant East,16370
Yonge-Eglinton,12410
Forest Hill South,10860
Forest Hill North,12290
Lawrence Park South,14960
Lawrence Park North,14675
Humewood-Cedarvale,13845
Oakwood Village,20710
Briar Hill-Belgravia,14575
Caledonia-Fairbank,10015
Keelesdale-Eglinton West,11390
Rockcliffe-Smythe,22235
Beechborough-Greenbrook,6260
Weston,18675
Lambton Baby Point,7965
Mount Dennis,13055
Steeles,22765
Tam O'Shanter-Sullivan,27205
Wexford/Maryvale,28345
Clairlea-Birchmount,26840
Oakridge,13705
Birchcliffe-Cliffside,22700
Cliffcrest,16130
Kennedy Park,17110
Ionview,13365
Dorset Park,24305
Agincourt South-Malvern West,24170
Agincourt North,27540
Milliken,23980
Centennial Scarborough,13380
Highland Creek,12625
Morningside,17660
West Hill,28140
Eglinton East,22535
Scarborough Village,16520
Guildwood,9680
Golfdale-Cedarbrae-Woburn,27085
Woburn North,26580
West Rouge,20670
Morningside Heights,24940
Malvern West,17320
Malvern East,26095
L'Amoreaux West,21545
East L'Amoreaux,21495
Parkwoods-O'Connor Hills,13965
Fenside-Parkwoods,20510
Yonge-Doris,20160
East Willowdale,15485
Avondale,13790
Oakdale-Beverley Heights,21420
Downsview,17970
Bendale-Glen Andrew,18685
Bendale South,10725
Islington,23460
Etobicoke City Centre,23600
Mimico-Queensway,17045
Humber Bay Shores,22605
West Queen West,13170
Fort York-Liberty Village,19915
Wellington Place,25570
Harbourfront-CityPlace,28135
St Lawrence-East Bayfront-The Islands,31285
Church-Wellesley,22320
Downtown Yonge East,17700
Bay-Cloverhill,16670
Yonge-Bay Corridor,12645
Junction-Wallace Emerson,23180
Dovercourt Village,12380
North Toronto,15885
South Eglinton-Davisville,22735
