STATION,LINE,AVG_PASSEN,ADDRESS,longitude,latitude
Kipling,Bloor-Danforth,53640,5247 Dundas St. West,-79.5358359592406,43.6373535046293
Islington,Bloor-Danforth,43090,3286 Bloor St. West,-79.5246181581969,43.6453831372437
Royal York,Bloor-Danforth,19440,3012 Bloor St. West,-79.511331169643,43.6482600241973
Old Mill,Bloor-Danforth,5780,2672 Bloor St. West,-79.4951011852339,43.6501106050232
Jane,Bloor-Danforth,16730,2440 Bloor St. West,-79.4844579277814,43.6497852048489
Runnymede,Bloor-Danforth,15900,2218 Bloor St. West,-79.4763043268843,43.6516036935534
High Park,Bloor-Danforth,10880, ,-79.4661948232207,43.6539852594401
Keele,Bloor-Danforth,14800, ,-79.4598717822601,43.655515691759
Dundas West,Bloor-Danforth,26500, ,-79.4523708253832,43.6570946728895
Lansdowne,Bloor-Danforth,16490, ,-79.4425832833073,43.6590096273647
Dufferin,Bloor-Danforth,27600, ,-79.4354719248708,43.6602552219025
Ossington,Bloor-Danforth,25990, ,-79.4259384640866,43.6624251881411
Christie,Bloor-Danforth,12060, ,-79.4184405722614,43.6641151436343
Bathurst,Bloor-Danforth,28310, ,-79.4113054039783,43.6656758855036
Spadina,Bloor-Danforth,35310, ,-79.4039786996053,43.6673034558199
St. George,Bloor-Danforth,119840, ,-79.3995224296703,43.6682921276199
Bay,Bloor-Danforth,28730, ,-79.3898986917932,43.6702637101992
Bloor-Yonge,Bloor-Danforth,403530, ,-79.3857332684995,43.6708016664554
Sherbourne,Bloor-Danforth,25000, ,-79.3765510031773,43.6723122958319
Castle Frank,Bloor-Danforth,8650, ,-79.3684771304565,43.6739308010777
Broadview,Bloor-Danforth,30390, ,-79.3586621080178,43.6767263379858
Chester,Bloor-Danforth,6980, ,-79.3522459917123,43.6783180766186
Pape,Bloor-Danforth,27080, ,-79.3450641406788,43.6797750819887
Donlands,Bloor-Danforth,9770, ,-79.3377991721254,43.6812242008883
Greenwood,Bloor-Danforth,9910, ,-79.3302778612208,43.6827923617489
Coxwell,Bloor-Danforth,16700, ,-79.3230837984893,43.6842903003352
Woodbine,Bloor-Danforth,13810, ,-79.3129745032349,43.6865138061352
Main Street,Bloor-Danforth,22670, ,-79.3020159344227,43.6889827674976
Victoria Park,Bloor-Danforth,25520, ,-79.289463177578,43.6946400557317
Warden,Bloor-Danforth,26830, ,-79.2790704872077,43.7111740388244
Kennedy,Bloor-Danforth,68160, ,-79.2636684036392,43.7324618602568
Union,Yonge-University-Spadina,102160, ,-79.3799077477809,43.6457680633196
St. Andrew,Yonge-University-Spadina,41020, ,-79.3848173938465,43.6476600361504
King,Yonge-University-Spadina,60270, ,-79.3778642089686,43.6491445405599
Osgoode,Yonge-University-Spadina,23250, ,-79.386627995014,43.6508484298353
Queen,Yonge-University-Spadina,58710, ,-79.3792692764809,43.65238958402
St. Patrick,Yonge-University-Spadina,119820, ,-79.3883038327193,43.6548415282341
Dundas,Yonge-University-Spadina,69150, ,-79.3809334558504,43.6563519996838
Queen's Park,Yonge-University-Spadina,47390, ,-79.3904603697128,43.6598658511602
College,Yonge-University-Spadina,49340, ,-79.3830839974877,43.6613903952478
Wellesley,Yonge-University-Spadina,23120, ,-79.3837655672601,43.6652509198188
Museum,Yonge-University-Spadina,8220, ,-79.3935475173233,43.6673549068268
Rosedale,Yonge-University-Spadina,7520, ,-79.3886801648396,43.6770532086195
Summerhill,Yonge-University-Spadina,5920, ,-79.3911724166279,43.6833402704589
St. Clair,Yonge-University-Spadina,28680, ,-79.3939709229611,43.6882829258388
Davisville,Yonge-University-Spadina,22970, ,-79.3973631797646,43.6980492218636
Eglinton,Yonge-University-Spadina,70720, ,-79.3986110232375,43.7066171572692
Lawrence,Yonge-University-Spadina,22230, ,-79.4021739320972,43.7249702711071
York Mills,Yonge-University-Spadina,27260, ,-79.4065290858672,43.7441822950653
Sheppard-Yonge,Yonge-University-Spadina,123480, ,-79.410943141272,43.7615199464672
North York Centre,Yonge-University-Spadina,25480, ,-79.4126916643618,43.7688024007341
Finch,Yonge-University-Spadina,97400, ,-79.4155036319496,43.779840959018
Spadina,Yonge-University-Spadina,13040, ,-79.4052705551373,43.6703290371876
Dupont,Yonge-University-Spadina,16870, ,-79.407084481868,43.6749800557036
St Clair West,Yonge-University-Spadina,53770, ,-79.4154118915012,43.6841317961138
Eglinton West,Yonge-University-Spadina,19850, ,-79.4361847335572,43.6994382426872
Glencairn,Yonge-University-Spadina,5560, ,-79.4412598969089,43.7095556461514
Lawrence West,Yonge-University-Spadina,20560, ,-79.4441703719541,43.7159313614647
Yorkdale,Yonge-University-Spadina,24930, ,-79.447858524829,43.7255646078177
Wilson,Yonge-University-Spadina,21680, ,-79.4499900949458,43.7342228264032
Downsview,Yonge-University-Spadina,31600, ,-79.4624509469504,43.7498070917538
Bayview,Sheppard,8200, ,-79.3878063187655,43.766772568871
Bessarion,Sheppard,2590, ,-79.3766514429109,43.7691918459918
Leslie,Sheppard,5610, ,-79.3668297388031,43.7709396591025
Don Mills,Sheppard,31500, ,-79.3462651037721,43.7753268127232
